DIRECTORIO;HOGAR_NUMERO;PERSONA_NUMERO;P6240;P203;P203S1;P5355;P5355S1;P5355S2;P204S1;P204S2;P204S3;P204S4;P204S5;P204S6;P204S7;P204S9;P204S8;P5360;P5360S1;P5361;P5361S1;P5361S2;P272S1;P272S2;P272S3;P272S4;P272S5;P272S6;P272S7;P272S8;P5366;P5366S1;P5367;P5367S1;P5367S2;P206S1;P206S2;P206S3;P206S4;P206S5;P206S6;P206S7;P206S8;P5371;P5371S1;P5372;P5372S1;P5372S2;P207S1;P207S2;P207S3;P207S4;P207S5;P207S6;P207S7;P207S8;P5377;P5377S1;P5378S1;P5378S2;P5378S3;P5378S4;P5378S5;P5378S6;P5378S7;P5378S8;P5378S9
3076281;1;1;1;1;2400000;2; ; ;2;2;1;2;2;2;2;2;2;2; ;2; ; ;2;2;2;2;2;1;2;2;2; ;1;5;1; ; ; ; ; ; ; ; ;2; ;1;4;1; ; ; ; ; ; ; ; ;2; ;2;2;1;2;2;2;1;2;2
3076281;1;2;1;1;2000000;2; ; ;2;2;1;2;2;2;2;2;2;2; ;1;3;1; ; ; ; ; ; ; ; ;2; ;1;5;1; ; ; ; ; ; ; ; ;2; ;1;4;1; ; ; ; ; ; ; ; ;2; ;2;2;2;2;2;1;1;2;2
3076282;1;1;1;1;700000;2; ; ;1;2;2;2;1;2;2;2;2;2; ;2; ; ;2;2;2;2;1;2;2;2;2; ;2; ; ;1;2;2;2;2;2;2;2;2; ;2; ; ;2;2;2;2;1;2;2;2;2; ;2;2;2;2;2;2;2;2;2
3076282;1;2;2;2; ;2; ; ;2;2;2;2;2;2;1;2;2;2; ;2; ; ;2;2;2;2;1;2;2;2;2; ;2; ; ;2;2;2;2;1;2;2;2;2; ;2; ; ;2;2;2;2;1;2;2;2;2; ;2;2;2;2;2;2;2;2;2
3076283;1;1;1;99; ;2; ; ;2;2;2;1;2;2;2;2;2;2; ;2; ; ;2;2;2;2;1;2;2;2;2; ;2; ; ;2;2;2;2;1;2;2;2;2; ;2; ; ;2;2;2;2;2;2;1;2;2; ;2;2;2;2;2;2;2;2;2
3076283;1;2;2;2; ;2; ; ;1;1;2;2;2;2;2;2;2;2; ;2; ; ;1;2;2;2;1;2;2;2;2; ;2; ; ;2;2;2;2;1;2;2;2;2; ;2; ; ;2;2;2;2;2;1;1;2;2; ;2;2;2;2;2;2;2;2;2
3076283;1;3;2;2; ;2; ; ;2;1;2;2;2;2;2;2;2;2; ;2; ; ;2;2;2;2;1;2;2;2;2; ;2; ; ;2;2;2;2;1;2;2;2;2; ;2; ; ;2;2;2;2;1;2;2;2;2; ;2;2;2;2;2;2;2;2;1
3076284;1;1;1;1;2350000;1;3;1; ; ; ; ; ; ; ; ; ;2; ;2; ; ;2;2;2;2;1;2;2;2;2; ;2; ; ;1;2;2;2;2;2;2;2;2; ;1;4;1; ; ; ; ; ; ; ; ;2; ;2;2;2;2;2;1;2;2;1
3076284;1;2;1;1;781242;1;5;2; ; ; ; ; ; ; ; ; ;1;60000;1;5;1; ; ; ; ; ; ; ; ;2; ;2; ; ;2;2;2;2;2;2;1;2;2; ;2; ; ;2;2;2;2;2;2;1;2;2; ;2;2;2;2;1;1;2;2;1
3076284;1;3;3;2; ;1;4;2; ; ; ; ; ; ; ; ; ;2; ;2; ; ;2;2;2;2;2;1;2;2;2; ;2; ; ;2;2;2;2;2;2;1;2;2; ;2; ; ;2;2;2;2;2;2;1;2;2; ;2;2;2;2;1;1;2;2;1
3076284;1;4;1;1;781242;2; ; ;2;1;2;2;2;2;2;2;2;2; ;2; ; ;2;2;2;2;1;2;1;2;2; ;2; ; ;2;2;2;2;1;2;2;2;2; ;2; ; ;2;2;2;2;1;2;2;2;2; ;2;2;2;2;1;2;2;2;1
3076285;1;1;4;2; ;1;5;2; ; ; ; ; ; ; ; ; ;1;35000;1;5;1; ; ; ; ; ; ; ; ;1;30000;2; ; ;2;2;2;2;1;2;2;2;2; ;2; ; ;2;2;2;2;1;2;2;2;2; ;2;2;2;2;2;2;2;2;2
3076286;1;1;1;1;1500000;2; ; ;1;2;2;1;2;2;2;2;2;2; ;1;5;2; ; ; ; ; ; ; ; ;2; ;2; ; ;2;1;2;2;2;2;1;2;2; ;2; ; ;2;1;2;2;2;2;1;2;2; ;2;2;2;2;2;2;2;2;2
3076286;1;2;1;1;1400000;2; ; ;1;2;2;1;2;2;2;2;2;2; ;1;5;2; ; ; ; ; ; ; ; ;2; ;2; ; ;2;1;2;2;2;2;1;2;2; ;2; ; ;2;1;2;2;2;2;1;2;2; ;2;2;2;2;2;2;2;2;2
3076287;1;1;1;1;800000;2; ; ;2;2;2;2;2;1;2;2;2;2; ;2; ; ;2;2;1;2;2;2;2;2;2; ;2; ; ;2;2;2;1;2;2;2;2;2; ;2; ; ;2;2;2;1;2;2;2;2;2; ;2;2;2;2;2;2;2;2;2
3076287;1;2;4;1;900000;2; ; ;2;2;1;1;2;2;2;2;2;2; ;1;4;1; ; ; ; ; ; ; ; ;2; ;2; ; ;1;2;2;2;2;2;2;2;2; ;1;5;1; ; ; ; ; ; ; ; ;2; ;2;2;2;1;2;1;1;2;2
3076287;1;3;1;99; ;1;3;1; ; ; ; ; ; ; ; ; ;2; ;2; ; ;2;2;2;2;2;2;1;2;2; ;1;4;1; ; ; ; ; ; ; ; ;2; ;1;5;1; ; ; ; ; ; ; ; ;2; ;2;2;2;1;1;1;2;2;1
3076288;1;1;1;1;800000;2; ; ;2;2;2;1;2;2;2;2;2;2; ;2; ; ;2;2;2;2;2;1;2;2;2; ;2; ; ;2;2;2;2;2;2;1;2;2; ;2; ; ;2;1;2;2;2;2;2;2;2; ;2;2;2;2;2;2;2;2;2
3076288;1;2;4;2; ;2; ; ;2;2;2;1;2;2;2;2;2;2; ;2; ; ;1;2;2;2;2;1;2;2;2; ;2; ; ;2;1;2;2;2;2;2;2;2; ;2; ; ;2;1;2;2;2;2;2;2;2; ;2;2;2;1;2;2;2;2;2
3076288;1;3;3;2; ;2; ; ;2;1;2;2;2;2;2;2;2;2; ;2; ; ;1;2;2;2;2;2;2;2;2; ;1;5;1; ; ; ; ; ; ; ; ;2; ;1;5;2; ; ; ; ; ; ; ; ;1;10000;2;2;2;1;1;1;1;2;2
3076288;1;4;1;1;800000;2; ; ;2;1;2;2;2;2;2;2;2;2; ;2; ; ;2;2;2;2;1;2;2;2;2; ;2; ; ;2;2;2;2;1;2;2;2;2; ;2; ; ;2;1;2;2;2;2;2;2;2; ;2;2;2;1;2;2;2;2;2
3076288;1;5;1;1;800000;2; ; ;1;2;2;2;2;2;2;2;2;2; ;1;5;2; ; ; ; ; ; ; ; ;1;35000;2; ; ;2;1;2;2;2;2;2;2;2; ;2; ; ;2;1;2;2;2;2;2;2;2; ;2;2;2;1;2;2;2;2;2
3076288;1;6;3;2; ;2; ; ;2;2;1;2;2;2;2;2;2;2; ;2; ; ;2;2;2;2;1;2;2;2;2; ;2; ; ;2;2;2;2;1;2;2;2;2; ;2; ; ;2;2;2;2;1;2;2;2;2; ;2;2;2;2;2;2;2;1;2
3076289;1;1;1;1;800000;2; ; ;2;1;2;2;2;2;2;2;2;2; ;2; ; ;2;2;2;2;1;1;2;2;2; ;2; ; ;2;2;2;2;1;2;2;2;2; ;2; ; ;2;2;2;2;2;2;1;2;2; ;2;2;2;2;2;2;2;2;2
3076289;1;2;3;2; ;2; ; ;2;1;2;2;2;2;2;2;2;2; ;2; ; ;2;2;2;2;1;2;2;2;2; ;2; ; ;2;2;2;2;1;2;2;2;2; ;2; ; ;2;2;2;2;1;2;2;2;2; ;2;2;2;2;2;2;2;2;2
3076289;2;1;1;1;781242;2; ; ;2;1;2;1;2;2;2;2;2;2; ;1;4;1; ; ; ; ; ; ; ; ;2; ;2; ; ;2;2;2;2;1;2;2;2;2; ;2; ; ;2;1;2;2;2;2;1;2;2; ;2;2;2;2;2;2;2;2;2
3076290;1;1;4;1;800000;2; ; ;2;2;1;2;2;2;2;2;2;2; ;2; ; ;2;2;2;2;2;2;1;2;2; ;2; ; ;1;2;2;2;2;2;2;2;2; ;2; ; ;2;2;2;2;2;2;1;2;2; ;2;2;2;2;2;2;1;2;2
3076290;1;2;2;2; ;2; ; ;2;2;2;1;2;2;2;2;2;2; ;2; ; ;2;2;2;2;2;1;2;2;2; ;1;4;1; ; ; ; ; ; ; ; ;2; ;1;4;1; ; ; ; ; ; ; ; ;2; ;2;2;2;2;2;2;1;2;2
3076290;2;1;1;1;1500000;2; ; ;2;1;2;2;2;2;2;2;2;2; ;2; ; ;2;2;2;2;1;2;2;2;2; ;2; ; ;2;2;2;2;1;2;2;2;2; ;2; ; ;2;2;2;2;2;2;1;2;2; ;2;2;2;2;2;2;2;2;2
3076290;2;2;4;2; ;2; ; ;2;1;2;2;2;2;2;2;2;2; ;2; ; ;2;2;2;2;2;1;2;2;2; ;2; ; ;2;2;2;2;2;2;1;2;2; ;2; ; ;1;2;2;2;2;2;2;2;2; ;2;2;2;2;2;2;2;2;2
3076290;2;3;3;2; ;2; ; ;2;2;2;1;2;2;2;2;2;2; ;2; ; ;2;2;2;2;2;1;2;2;2; ;2; ; ;2;2;2;2;2;2;1;2;2; ;2; ; ;2;2;2;2;1;2;2;2;2; ;2;2;2;2;2;2;2;2;2
3076290;2;4;3;2; ;2; ; ;2;1;2;2;2;2;2;2;2;2; ;2; ; ;2;2;2;2;2;2;1;2;2; ;2; ; ;2;2;2;2;1;2;2;2;2; ;2; ; ;2;2;2;2;1;2;2;2;2; ;2;2;2;2;2;2;2;2;2
3076290;2;5;3;2; ;2; ; ;2;1;2;2;2;2;2;2;2;2; ;2; ; ;2;2;2;2;1;2;2;2;2; ;2; ; ;1;2;2;2;2;2;2;2;2; ;2; ; ;1;2;2;2;2;2;2;2;2; ;2;2;2;2;2;2;2;2;2
3076291;1;1;1;1;1000000;2; ; ;1;2;2;1;2;2;2;2;2;2; ;2; ; ;2;1;2;2;2;1;2;2;2; ;2; ; ;2;2;1;2;1;2;1;2;2; ;2; ; ;2;1;2;2;2;2;1;2;2; ;2;2;2;2;2;2;2;2;2
3076291;1;2;2;2; ;2; ; ;1;2;2;1;2;2;2;2;2;2; ;2; ; ;1;2;2;2;1;2;2;2;2; ;2; ; ;2;2;2;2;2;2;1;2;2; ;2; ; ;2;1;2;2;2;2;1;2;2; ;2;2;2;2;2;2;2;2;2
3076291;1;3;3;2; ;2; ; ;2;1;2;2;2;2;2;2;2;2; ;2; ; ;1;2;2;2;2;2;2;2;2; ;2; ; ;1;2;2;2;2;2;2;2;2; ;2; ; ;2;1;2;2;2;2;2;2;2; ;2;2;2;2;2;2;2;2;2
3076291;1;5;1;1;400000;2; ; ;1;2;2;2;2;2;2;2;2;2; ;2; ; ;1;2;2;2;2;2;2;2;2; ;2; ; ;1;2;2;2;2;2;2;2;2; ;2; ; ;2;2;2;2;1;2;2;2;2; ;2;2;2;2;2;2;2;2;2
3076291;1;6;4;1;45000;2; ; ;2;2;1;2;2;2;2;2;2;2; ;2; ; ;1;2;2;2;2;2;2;2;2; ;2; ; ;1;2;2;2;2;2;2;2;2; ;2; ; ;2;1;2;2;2;2;2;2;2; ;2;2;2;2;2;2;2;2;2
3076293;1;1;1;1;800000;2; ; ;2;2;2;1;2;2;2;2;2;2; ;2; ; ;1;2;2;2;2;1;2;2;2; ;2; ; ;2;1;2;2;2;2;1;2;2; ;1;4;1; ; ; ; ; ; ; ; ;2; ;1;2;1;2;1;2;1;1;1
3076294;1;1;4;2; ;2; ; ;2;1;2;2;2;2;2;2;2;2; ;2; ; ;2;2;2;2;1;2;2;2;2; ;2; ; ;2;2;2;2;1;2;2;2;2; ;2; ; ;2;2;2;2;2;2;1;2;2; ;2;2;2;2;2;2;2;2;2
3076294;1;2;1;99; ;2; ; ;2;1;2;1;2;2;2;2;2;2; ;2; ; ;2;2;2;2;1;2;2;2;2; ;2; ; ;2;2;2;2;1;2;1;2;2; ;2; ; ;2;2;2;2;1;2;1;2;2; ;2;2;2;2;2;2;2;2;2
3076295;1;1;1;1;2000000;2; ; ;1;1;2;2;2;2;2;2;2;2; ;2; ; ;2;2;2;2;2;1;2;2;2; ;2; ; ;2;2;2;2;1;2;1;2;2; ;2; ; ;2;2;2;2;1;2;2;2;2; ;2;2;2;2;2;2;2;2;2
3076295;1;2;4;2; ;2; ; ;2;1;2;2;2;2;2;2;2;2; ;2; ; ;2;2;2;2;2;1;2;2;2; ;2; ; ;2;2;2;2;2;2;1;2;2; ;2; ; ;2;2;2;2;2;2;1;2;2; ;2;2;2;2;2;2;2;2;2
3076295;1;3;1;1;950000;2; ; ;1;2;2;1;2;2;2;2;2;2; ;2; ; ;1;2;2;2;2;1;2;2;2; ;2; ; ;2;1;2;2;2;2;1;2;2; ;2; ; ;2;1;2;2;2;2;1;2;2; ;2;2;2;2;2;2;2;2;2
3076296;1;1;1;1;2400000;2; ; ;2;2;2;1;2;2;2;2;2;2; ;2; ; ;2;2;2;2;2;1;2;2;2; ;2; ; ;2;2;2;2;2;2;1;2;2; ;2; ; ;2;2;2;2;2;2;1;2;2; ;2;2;2;2;2;2;2;2;2
3076296;1;2;4;2; ;2; ; ;2;2;2;1;2;2;2;2;2;2; ;2; ; ;2;2;2;2;2;1;2;2;2; ;2; ; ;2;2;2;2;2;2;1;2;2; ;1;5;1; ; ; ; ; ; ; ; ;2; ;2;2;2;2;2;2;2;2;2
3076296;1;3;3;1;420000;1;5;1; ; ; ; ; ; ; ; ; ;2; ;1;5;1; ; ; ; ; ; ; ; ;2; ;1;5;1; ; ; ; ; ; ; ; ;2; ;1;5;1; ; ; ; ; ; ; ; ;2; ;2;2;2;2;2;2;2;1;2
3076296;1;4;3;2; ;2; ; ;2;1;2;2;2;2;2;2;2;2; ;2; ; ;2;2;2;2;2;2;1;2;2; ;1;5;1; ; ; ; ; ; ; ; ;2; ;1;5;1; ; ; ; ; ; ; ; ;2; ;2;2;2;2;2;2;2;2;2
3076297;1;1;4;2; ;2; ; ;1;1;2;2;2;2;2;2;2;2; ;2; ; ;2;2;2;2;1;2;2;2;2; ;2; ; ;2;2;2;2;1;2;2;2;2; ;2; ; ;2;2;2;2;1;2;2;2;2; ;2;2;2;2;2;2;2;2;2
3076298;1;1;4;99; ;2; ; ;2;2;2;1;2;2;2;2;2;2; ;2; ; ;2;2;1;2;2;2;2;2;2; ;2; ; ;2;2;2;2;1;2;1;2;2; ;2; ; ;2;2;2;2;1;2;2;2;2; ;2;2;2;2;2;2;2;2;2
3076298;1;2;4;2; ;2; ; ;2;1;2;2;2;2;2;2;2;2; ;2; ; ;2;2;2;2;1;2;2;2;2; ;2; ; ;2;2;2;2;1;2;2;2;2; ;2; ; ;2;2;2;2;1;2;2;2;2; ;2;2;2;2;2;2;2;2;2
3076298;1;3;1;99; ;2; ; ;2;2;2;1;2;2;2;2;2;2; ;2; ; ;2;2;1;2;2;2;2;2;2; ;2; ; ;2;2;2;2;2;2;1;2;2; ;2; ; ;2;2;2;2;2;2;1;2;2; ;2;2;2;2;2;2;2;2;2
3076299;1;1;1;1;781242;2; ; ;1;2;2;2;2;2;2;2;2;2; ;2; ; ;1;2;2;2;2;2;1;2;2; ;2; ; ;2;2;2;2;1;2;2;2;2; ;2; ; ;2;2;2;2;1;2;2;2;2; ;2;2;2;2;1;2;2;2;2
3076299;1;2;3;1;400000;2; ; ;1;2;2;2;2;2;2;2;2;2; ;2; ; ;1;2;2;2;2;1;2;2;2; ;2; ; ;2;1;2;2;2;2;2;2;2; ;2; ; ;1;2;2;2;2;2;2;2;2; ;2;2;2;2;1;2;1;2;2
3076300;1;1;1;1;1500000;1;4;2; ; ; ; ; ; ; ; ; ;1;60000;2; ; ;1;2;2;2;2;1;2;2;2; ;2; ; ;2;1;2;2;2;2;1;2;2; ;2; ; ;2;2;2;2;2;2;1;2;2; ;2;2;2;2;2;2;2;2;1
3076300;1;2;4;2; ;2; ; ;2;2;1;2;2;2;2;2;2;2; ;2; ; ;2;2;2;2;2;2;1;2;2; ;2; ; ;1;2;2;2;2;2;2;2;2; ;2; ; ;1;2;2;2;1;2;2;2;2; ;2;2;2;2;2;2;2;2;2
3076301;1;1;1;99; ;2; ; ;2;1;2;2;2;2;2;2;2;2; ;2; ; ;2;2;2;2;1;2;2;2;2; ;2; ; ;2;1;1;2;2;2;2;2;2; ;2; ; ;2;1;2;2;2;2;2;2;2; ;2;2;2;2;2;2;2;2;2
3076302;1;1;1;99; ;2; ; ;2;2;2;1;2;2;2;2;2;2; ;2; ; ;2;2;2;2;2;1;2;2;2; ;2; ; ;2;2;2;2;2;2;1;2;2; ;1;5;1; ; ; ; ; ; ; ; ;2; ;2;2;2;2;1;2;2;2;2
3076302;1;2;2;2; ;2; ; ;2;1;1;2;2;2;2;2;2;2; ;2; ; ;2;2;2;2;2;1;2;2;2; ;2; ; ;1;2;2;2;2;2;1;2;2; ;2; ; ;1;2;2;2;2;2;1;2;2; ;2;2;2;2;2;2;2;2;2
3076303;1;1;1;99; ;2; ; ;2;1;2;1;2;2;2;2;2;2; ;2; ; ;2;2;2;2;1;2;2;2;2; ;2; ; ;2;2;2;2;1;2;2;2;2; ;2; ; ;2;2;2;2;1;2;2;2;2; ;2;2;2;2;2;2;2;2;2
3076303;1;2;4;2; ;2; ; ;2;1;2;2;2;2;2;2;2;2; ;2; ; ;2;2;2;2;1;2;2;2;2; ;2; ; ;2;2;2;2;1;2;2;2;2; ;2; ; ;2;2;2;2;1;2;2;2;2; ;2;2;2;2;2;2;2;2;2
3076303;1;3;5;2; ;2; ; ;2;2;2;2;2;1;2;2;2;2; ;2; ; ;2;2;2;1;2;2;2;2;2; ;2; ; ;2;2;2;2;1;2;2;2;2; ;2; ; ;2;2;2;1;2;2;2;2;2; ;2;2;2;2;2;2;2;2;2
3076303;1;4;5;2; ;2; ; ;2;2;2;2;2;1;2;2;2;2; ;2; ; ;2;2;2;1;2;2;2;2;2; ;2; ; ;2;2;2;1;2;2;2;2;2; ;2; ; ;2;2;2;1;2;2;2;2;2; ;2;2;2;2;2;2;2;2;2
3076303;1;5;4;99; ;1;4;1; ; ; ; ; ; ; ; ; ;2; ;2; ; ;2;2;2;2;2;2;1;2;2; ;2; ; ;1;2;2;2;2;2;2;2;2; ;2; ; ;1;2;2;2;2;2;2;2;2; ;2;1;2;1;2;2;2;2;2
3076304;1;1;1;1;800000;2; ; ;1;2;2;1;2;2;2;2;2;2; ;2; ; ;1;2;2;2;2;1;2;2;2; ;2; ; ;2;1;2;2;2;2;1;2;2; ;2; ; ;2;1;2;2;2;2;1;2;2; ;2;2;2;2;2;2;2;2;2
3076304;1;2;1;2; ;2; ; ;2;2;1;2;2;2;2;2;2;2; ;2; ; ;2;2;2;2;1;2;2;2;2; ;2; ; ;1;2;2;2;2;2;2;2;2; ;2; ; ;1;2;2;2;2;2;2;2;2; ;2;2;2;2;2;2;2;2;2
3076304;1;3;2;2; ;2; ; ;2;2;1;2;2;2;2;2;2;2; ;2; ; ;1;2;2;2;2;2;2;2;2; ;2; ; ;1;2;2;2;2;2;2;2;2; ;2; ; ;1;2;2;2;2;2;2;2;2; ;2;2;2;2;2;2;2;2;2
3076305;1;1;1;99; ;1;2;2; ; ; ; ; ; ; ; ; ;1;50000;2; ; ;2;2;2;2;2;1;2;2;2; ;1;3;2; ; ; ; ; ; ; ; ;2; ;2; ; ;2;2;2;2;2;2;1;2;2; ;2;2;2;1;1;2;2;2;2
3076305;1;2;1;1;800000;1;2;1; ; ; ; ; ; ; ; ; ;2; ;1;2;1; ; ; ; ; ; ; ; ;2; ;1;2;1; ; ; ; ; ; ; ; ;2; ;1;2;1; ; ; ; ; ; ; ; ;2; ;2;1;2;1;1;2;2;2;2
3076305;1;3;1;1;1200000;1;1;1; ; ; ; ; ; ; ; ; ;2; ;1;1;1; ; ; ; ; ; ; ; ;2; ;1;1;1; ; ; ; ; ; ; ; ;2; ;1;1;1; ; ; ; ; ; ; ; ;2; ;2;1;2;1;1;2;2;2;2
3076305;1;4;1;1;700000;1;2;1; ; ; ; ; ; ; ; ; ;2; ;1;1;1; ; ; ; ; ; ; ; ;2; ;1;3;1; ; ; ; ; ; ; ; ;2; ;2; ; ;2;2;2;2;2;2;1;2;2; ;2;1;1;1;1;2;1;2;1
3076306;1;1;1;99; ;2; ; ;2;2;2;2;2;2;1;2;2;2; ;2; ; ;2;2;2;2;2;2;2;1;2; ;2; ; ;2;2;1;2;2;2;2;2;2; ;2; ; ;2;2;1;2;2;2;2;2;2; ;2;2;2;2;1;2;2;2;2
3076306;1;2;1;1;200000;2; ; ;2;2;2;2;2;2;1;2;2;2; ;1;4;1; ; ; ; ; ; ; ; ;2; ;2; ; ;1;1;2;2;2;2;1;2;2; ;1;4;1; ; ; ; ; ; ; ; ;2; ;2;2;2;2;1;2;2;1;2
3076306;1;3;3;2; ;2; ; ;2;2;2;1;2;2;2;2;2;2; ;2; ; ;2;2;2;2;1;2;2;2;2; ;2; ; ;1;2;2;2;2;2;1;2;2; ;2; ; ;1;2;2;2;2;2;1;2;2; ;2;1;2;2;2;2;2;2;2
3076307;1;1;1;1;800000;2; ; ;2;1;2;2;2;2;2;2;2;2; ;2; ; ;2;2;2;2;1;2;2;2;2; ;2; ; ;2;2;2;2;1;2;2;2;2; ;2; ; ;2;2;2;2;1;2;2;2;2; ;2;2;2;2;2;2;2;2;2
3076307;1;2;4;2; ;2; ; ;2;2;1;1;2;2;2;2;2;2; ;2; ; ;2;2;2;2;1;2;1;2;2; ;2; ; ;2;2;2;2;1;2;2;2;2; ;2; ; ;2;2;2;2;1;2;2;2;2; ;2;2;2;2;2;2;2;2;2
3076307;1;3;2;2; ;2; ; ;2;1;2;1;2;2;2;2;2;2; ;1;5;2; ; ; ; ; ; ; ; ;1;50000;2; ; ;1;2;2;2;1;2;2;2;2; ;2; ; ;1;2;2;2;2;2;2;2;2; ;2;2;2;2;1;2;2;2;1
3076307;1;4;4;2; ;2; ; ;2;1;2;2;2;2;2;2;2;2; ;2; ; ;2;2;2;2;1;2;2;2;2; ;2; ; ;2;2;2;2;1;2;2;2;2; ;2; ; ;2;2;2;2;1;2;2;2;2; ;2;2;2;2;2;2;2;2;1
3076307;1;5;1;1;240000;2; ; ;2;1;2;2;2;2;2;2;2;2; ;2; ; ;2;2;2;2;1;2;2;2;2; ;2; ; ;2;2;2;2;1;2;2;2;2; ;2; ; ;2;2;2;2;1;2;2;2;2; ;2;2;2;2;2;2;2;2;2
3076308;1;1;4;2; ;2; ; ;1;1;2;2;2;2;2;2;2;2; ;2; ; ;1;2;2;2;2;2;2;2;2; ;2; ; ;2;1;2;2;1;2;2;2;2; ;2; ; ;2;1;2;2;2;2;2;2;2; ;2;2;2;2;2;2;2;2;2
3076308;1;2;1;1;600000;2; ; ;1;1;2;1;2;2;2;2;2;2; ;2; ; ;1;2;2;2;1;1;2;2;2; ;2; ; ;2;2;2;2;1;2;2;2;2; ;2; ; ;2;2;2;2;2;2;1;2;2; ;2;2;2;2;2;2;2;2;2
3076308;1;3;6;2; ;2; ; ;1;2;2;1;1;2;2;2;2;2; ;2; ; ;1;1;2;2;2;2;2;2;2; ;2; ; ;1;1;2;2;2;2;2;2;2; ;2; ; ;1;1;2;2;2;2;2;2;2; ;2;2;2;1;2;2;2;2;2
3076308;2;1;2;2; ;2; ; ;2;1;2;2;2;2;2;2;2;2; ;2; ; ;1;2;2;2;1;1;2;2;2; ;2; ; ;2;1;2;2;1;2;1;2;2; ;2; ; ;2;1;2;2;1;2;1;2;2; ;2;2;2;2;2;2;2;2;2
3076308;2;2;1;1;200000;2; ; ;2;2;2;1;2;2;2;2;2;2; ;2; ; ;2;2;2;2;1;2;2;2;2; ;2; ; ;1;2;2;2;1;2;2;2;2; ;2; ; ;2;2;2;2;2;2;1;2;2; ;2;2;2;2;1;2;2;2;2
3076308;2;3;2;2; ;1;3;1; ; ; ; ; ; ; ; ; ;2; ;2; ; ;2;2;2;2;2;2;1;2;2; ;1;4;1; ; ; ; ; ; ; ; ;2; ;1;3;2; ; ; ; ; ; ; ; ;1;6000;2;2;1;1;1;2;1;2;2
3076308;2;4;6;2; ;2; ; ;2;1;1;2;2;2;2;2;2;2; ;2; ; ;1;2;2;2;2;2;2;2;2; ;2; ; ;1;2;2;2;2;2;2;2;2; ;2; ; ;1;2;2;2;2;2;2;2;2; ;2;2;2;2;2;2;2;2;2
3076309;1;1;1;1;1500000;2; ; ;2;2;2;1;2;2;2;2;2;2; ;2; ; ;2;2;2;2;2;1;2;2;2; ;1;5;2; ; ; ; ; ; ; ; ;99; ;2; ; ;2;2;2;2;2;2;1;2;2; ;2;2;2;2;1;2;1;2;1
3076309;1;2;2;2; ;1;4;1; ; ; ; ; ; ; ; ; ;1;15000;2; ; ;2;2;2;2;2;2;1;2;2; ;2; ; ;2;2;2;2;1;2;2;2;2; ;1;5;1; ; ; ; ; ; ; ; ;2; ;2;1;2;1;1;1;2;2;1
3076309;1;3;1;1;900000;1;3;1; ; ; ; ; ; ; ; ; ;1;100000;1;4;1; ; ; ; ; ; ; ; ;2; ;1;5;1; ; ; ; ; ; ; ; ;2; ;1;5;1; ; ; ; ; ; ; ; ;2; ;2;2;2;1;1;1;2;2;1
3076310;1;1;1;1;1000000;2; ; ;2;1;2;2;2;2;2;2;2;2; ;2; ; ;2;2;2;2;1;2;2;2;2; ;2; ; ;2;2;2;2;1;2;2;2;2; ;2; ; ;2;2;2;2;1;2;2;2;2; ;2;2;2;2;2;2;2;2;2
3076310;1;2;3;2; ;2; ; ;2;1;2;2;2;2;2;2;2;2; ;2; ; ;2;2;2;2;1;2;2;2;2; ;2; ; ;2;2;2;2;1;2;2;2;2; ;2; ; ;1;2;2;2;2;2;2;2;2; ;1;1;2;2;1;2;2;2;1
3076310;1;3;3;2; ;2; ; ;2;1;2;2;2;2;2;2;2;2; ;2; ; ;2;2;2;2;1;2;2;2;2; ;2; ; ;2;2;2;2;2;2;1;2;2; ;2; ; ;2;2;2;2;2;2;1;2;2; ;2;2;1;2;2;2;1;2;2
3076310;1;4;3;2; ;2; ; ;2;1;2;2;2;2;2;2;2;2; ;2; ; ;2;2;2;2;1;2;2;2;2; ;2; ; ;2;2;2;2;1;2;2;2;2; ;2; ; ;2;2;2;2;1;2;2;2;2; ;2;2;2;2;2;2;2;1;1
3076310;1;5;1;1;800000;2; ; ;2;2;2;1;2;2;2;2;2;2; ;2; ; ;2;2;2;2;2;1;2;2;2; ;2; ; ;2;2;2;2;2;2;1;2;2; ;2; ; ;2;2;2;2;2;2;1;2;2; ;2;2;2;2;1;1;1;2;1
3076310;1;7;4;2; ;2; ; ;2;2;2;1;2;2;2;2;2;2; ;2; ; ;2;2;2;2;2;1;2;2;2; ;2; ; ;2;2;2;2;2;2;1;2;2; ;2; ; ;2;2;2;2;2;2;1;2;2; ;2;2;2;2;1;2;2;2;2
3076311;1;1;4;2; ;2; ; ;2;1;1;2;1;1;2;2;2;2; ;2; ; ;2;2;2;1;1;2;2;2;2; ;2; ; ;2;2;2;1;2;2;2;2;2; ;2; ; ;1;2;2;1;1;2;2;2;2; ;2;2;2;2;2;2;2;2;2
3076311;1;2;2;2; ;2; ; ;2;2;1;2;2;2;2;2;2;2; ;1;3;2; ; ; ; ; ; ; ; ;99; ;2; ; ;2;2;2;2;2;2;1;2;2; ;2; ; ;2;2;2;2;2;2;1;2;2; ;2;2;2;2;2;2;2;2;2
3076311;1;3;2;1;550000;2; ; ;2;2;2;1;2;2;2;2;2;2; ;2; ; ;2;2;2;2;2;1;2;2;2; ;2; ; ;2;2;2;2;2;2;1;2;2; ;2; ; ;2;2;2;2;2;2;1;2;2; ;2;2;2;2;2;2;2;2;2
